i;j;z_m;y_m;n_tubi;T_gas_C;p_gas_bar;v_gas_ms;Re_gas;h_conv_Wm2K;h_rad_Wm2K;eps_gas;x_in;x_out;alpha;G_cross_kgm2s;v_cross_ms;h_boil_Wm2K;U_o_Wm2K;q_lin_Wm;q_int_kWm2;q_est_kWm2;T_met_int_C;T_met_mid_C;T_met_est_C;T_met_media_spessore_C;T_parete_bollente_C;dT_superheat_K;dT_deposito_K;dT_met_sat_K;q_CHF_loc_kWm2;DNBR;ferrula
2;8;0.037;0.3565;91.9;966.45;34.7245;33.099;105402;2279.5;41.65;0.1165;0.06177;0.07174;0.2641;162.12;0.388;23740.8;107.1;8247.8;98.33;68.91;342.68;339.47;336.53;339.43;326.19;2.902;10.34;13.24;292;4.23;1
2;9;0.037;0.4991;82.0;966.46;34.7245;33.099;105402;2279.5;41.65;0.1165;0.07174;0.08063;0.2987;181.62;0.457;22022.0;107.1;8245.6;98.30;68.89;342.90;339.69;336.75;339.65;326.42;3.128;10.33;13.46;289;4.19;1
2;10;0.037;0.6417;66.6;966.46;34.7245;33.099;105402;2279.5;41.65;0.1165;0.08063;0.08785;0.3346;223.78;0.587;19917.4;107.1;8242.5;98.26;68.86;343.22;340.02;337.08;339.97;326.75;3.457;10.33;13.79;287;4.16;1
2;11;0.037;0.7843;38.2;966.46;34.7245;33.099;105402;2279.4;41.65;0.1165;0.08785;0.09199;0.3800;389.42;1.050;17463.0;107.0;8237.9;98.21;68.82;343.70;340.49;337.56;340.45;327.23;3.941;10.32;14.26;285;4.14;1
3;0;0.053;-0.7843;38.2;965.90;34.7241;33.085;105436;2279.0;41.61;0.1165;0.00000;0.00415;0.0140;389.00;0.601;18105.9;107.0;8230.5;98.12;68.76;343.54;340.34;337.40;340.29;327.09;3.798;10.31;14.11;313;4.55;1
3;1;0.053;-0.6417;66.6;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.00415;0.01137;0.0445;223.54;0.362;22834.0;107.1;8237.9;98.21;68.82;342.77;339.57;336.63;339.52;326.30;3.014;10.32;13.34;311;4.51;1
3;2;0.053;-0.4991;82.0;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.01137;0.02026;0.0815;181.43;0.313;25323.0;107.1;8240.7;98.24;68.85;342.48;339.27;336.34;339.23;326.01;2.719;10.33;13.05;308;4.47;1
3;3;0.053;-0.3565;91.9;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.02026;0.03024;0.1198;161.95;0.299;26853.9;107.2;8242.1;98.26;68.86;342.33;339.12;336.18;339.08;325.86;2.564;10.33;12.89;305;4.42;1
3;4;0.053;-0.2139;76.9;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.03024;0.03858;0.1646;193.41;0.381;24170.5;107.1;8239.5;98.23;68.84;342.61;339.40;336.46;339.36;326.14;2.848;10.33;13.17;302;4.39;1
3;5;0.053;-0.0713;68.4;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.03858;0.04600;0.2007;217.44;0.451;22194.5;107.1;8237.1;98.20;68.82;342.86;339.65;336.71;339.61;326.39;3.101;10.32;13.42;300;4.35;1
3;6;0.053;0.0713;68.4;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.04600;0.05343;0.2278;217.44;0.472;21691.5;107.1;8236.4;98.19;68.81;342.93;339.72;336.78;339.68;326.46;3.172;10.32;13.49;297;4.32;1
3;7;0.053;0.2139;76.9;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.05343;0.06177;0.2477;193.41;0.440;22386.5;107.1;8237.3;98.20;68.82;342.83;339.63;336.69;339.58;326.36;3.074;10.32;13.40;295;4.28;1
3;8;0.053;0.3565;91.9;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.06177;0.07174;0.2640;161.95;0.387;23738.7;107.1;8239.0;98.22;68.83;342.66;339.45;336.52;339.41;326.19;2.900;10.33;13.22;292;4.24;1
3;9;0.053;0.4991;82.0;965.90;34.7241;33.085;105436;2279.1;41.61;0.1165;0.07174;0.08063;0.2986;181.43;0.456;22020.2;107.1;8236.9;98.20;68.82;342.88;339.68;336.74;339.63;326.42;3.125;10.32;13.45;289;4.20;1
3;10;0.053;0.6417;66.6;965.90;34.7241;33.085;105436;2279.0;41.61;0.1165;0.08063;0.08785;0.3345;223.54;0.586;19915.5;107.0;8233.7;98.16;68.79;343.20;340.00;337.06;339.96;326.74;3.454;10.32;13.77;287;4.17;1
3;11;0.053;0.7843;38.2;965.90;34.7241;33.085;105436;2279.0;41.61;0.1165;0.08785;0.09199;0.3799;389.00;1.049;17459.0;107.0;8229.2;98.11;68.75;343.68;340.48;337.54;340.43;327.23;3.938;10.31;14.25;285;4.15;1
4;0;0.070;-0.7843;38.2;965.33;34.7237;33.070;105472;2099.7;41.42;0.1166;0.00000;0.00415;0.0140;386.00;0.596;18092.3;106.3;8166.9;97.36;68.23;343.39;340.21;337.30;340.17;327.06;3.771;10.23;14.01;313;4.58;1
4;1;0.070;-0.6417;66.6;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.00415;0.01137;0.0444;221.81;0.359;22821.2;106.4;8174.2;97.45;68.29;342.62;339.44;336.53;339.40;326.28;2.993;10.24;13.24;311;4.55;1
4;2;0.070;-0.4991;82.0;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.01137;0.02026;0.0813;180.03;0.311;25304.0;106.4;8177.0;97.48;68.32;342.33;339.15;336.24;339.11;325.99;2.700;10.25;12.95;308;4.51;1
4;3;0.070;-0.3565;91.9;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.02026;0.03024;0.1195;160.70;0.297;26829.3;106.4;8178.4;97.50;68.33;342.18;339.00;336.09;338.96;325.84;2.547;10.25;12.80;305;4.46;1
4;4;0.070;-0.2139;76.9;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.03024;0.03858;0.1642;191.91;0.378;24154.7;106.4;8175.8;97.47;68.31;342.46;339.28;336.36;339.24;326.12;2.828;10.25;13.07;302;4.42;1
4;5;0.070;-0.0713;68.4;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.03858;0.04600;0.2003;215.76;0.447;22182.2;106.4;8173.4;97.44;68.29;342.71;339.53;336.61;339.48;326.37;3.078;10.24;13.32;300;4.39;1
4;6;0.070;0.0713;68.4;965.32;34.7237;33.070;105472;2099.8;41.42;0.1166;0.04600;0.05342;0.2274;215.76;0.468;21679.5;106.3;8172.8;97.43;68.28;342.78;339.60;336.68;339.55;326.44;3.150;10.24;13.39;297;4.35;1
4;7;0.070;0.2139;76.9;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.05342;0.06177;0.2472;191.91;0.436;22373.5;106.4;8173.7;97.44;68.29;342.68;339.50;336.59;339.46;326.34;3.052;10.24;13.30;295;4.32;1
4;8;0.070;0.3565;91.9;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.06177;0.07174;0.2635;160.70;0.384;23723.2;106.4;8175.3;97.46;68.30;342.51;339.33;336.42;339.29;326.17;2.879;10.25;13.12;292;4.27;1
4;9;0.070;0.4991;82.0;965.32;34.7237;33.070;105473;2099.8;41.42;0.1166;0.07174;0.08063;0.2981;180.03;0.453;22007.0;106.4;8173.2;97.44;68.28;342.73;339.55;336.64;339.51;326.39;3.103;10.24;13.35;289;4.23;1
4;10;0.070;0.6417;66.6;965.32;34.7237;33.070;105472;2099.7;41.42;0.1166;0.08063;0.08785;0.3340;221.81;0.582;19901.4;106.3;8170.1;97.40;68.26;343.05;339.87;336.96;339.83;326.72;3.430;10.24;13.67;287;4.20;1
4;11;0.070;0.7843;38.2;965.33;34.7237;33.070;105472;2099.7;41.42;0.1166;0.08785;0.09199;0.3796;386.00;1.041;17429.4;106.3;8165.6;97.35;68.22;343.53;340.35;337.44;340.31;327.20;3.914;10.23;14.15;285;4.18;1
5;0;0.087;-0.7843;38.2;964.73;34.7232;33.054;105510;1975.8;41.27;0.1166;0.00000;0.00415;0.0140;383.54;0.593;18081.1;105.7;8115.0;96.74;67.80;343.26;340.10;337.21;340.06;327.04;3.750;10.17;13.92;313;4.61;1
5;1;0.087;-0.6417;66.6;964.73;34.7232;33.054;105510;1975.8;41.26;0.1166;0.00415;0.01137;0.0443;220.40;0.357;22810.5;105.8;8122.2;96.83;67.86;342.50;339.34;336.44;339.30;326.27;2.975;10.18;13.15;311;4.58;1
5;2;0.087;-0.4991;82.0;964.73;34.7232;33.054;105510;1975.9;41.26;0.1166;0.01137;0.02026;0.0812;178.88;0.309;25288.1;105.8;8124.9;96.86;67.88;342.21;339.05;336.16;339.01;325.98;2.684;10.18;12.87;308;4.53;1
5;3;0.087;-0.3565;91.9;964.73;34.7232;33.054;105510;1975.9;41.26;0.1166;0.02026;0.03024;0.1192;159.68;0.295;26808.8;105.8;8126.3;96.88;67.89;342.06;338.90;336.01;338.86;325.82;2.532;10.18;12.72;305;4.49;1
5;4;0.087;-0.2139;76.9;964.73;34.7232;33.054;105510;1975.9;41.26;0.1166;0.03024;0.03858;0.1640;190.69;0.375;24141.4;105.8;8123.7;96.85;67.87;342.34;339.18;336.28;339.14;326.10;2.811;10.18;12.99;302;4.45;1
5;5;0.087;-0.0713;68.4;964.73;34.7232;33.054;105510;1975.8;41.26;0.1166;0.03858;0.04600;0.2000;214.38;0.444;22172.0;105.8;8121.4;96.82;67.85;342.58;339.42;336.53;339.38;326.35;3.060;10.18;13.24;300;4.42;1
5;6;0.087;0.0713;68.4;964.73;34.7232;33.054;105510;1975.8;41.26;0.1166;0.04600;0.05342;0.2270;214.38;0.465;21669.5;105.8;8120.7;96.81;67.85;342.65;339.49;336.60;339.45;326.42;3.131;10.18;13.31;297;4.38;1
5;7;0.087;0.2139;76.9;964.73;34.7232;33.054;105510;1975.8;41.26;0.1166;0.05342;0.06177;0.2468;190.69;0.433;22362.7;105.8;8121.6;96.82;67.85;342.56;339.40;336.50;339.35;326.33;3.034;10.18;13.21;295;4.34;1
5;8;0.087;0.3565;91.9;964.73;34.7232;33.054;105510;1975.8;41.26;0.1166;0.06177;0.07174;0.2630;159.68;0.382;23710.3;105.8;8123.2;96.84;67.87;342.39;339.23;336.33;339.19;326.15;2.862;10.18;13.04;292;4.30;1
5;9;0.087;0.4991;82.0;964.73;34.7232;33.054;105510;1975.8;41.26;0.1166;0.07174;0.08063;0.2976;178.88;0.450;21996.1;105.8;8121.2;96.82;67.85;342.61;339.45;336.55;339.40;326.38;3.085;10.18;13.26;289;4.26;1
5;10;0.087;0.6417;66.6;964.73;34.7232;33.054;105510;1975.8;41.26;0.1166;0.08063;0.08785;0.3336;220.40;0.578;19889.8;105.7;8118.1;96.78;67.82;342.93;339.77;336.87;339.73;326.70;3.410;10.17;13.58;287;4.22;1
5;11;0.087;0.7843;38.2;964.73;34.7232;33.054;105510;1975.8;41.27;0.1166;0.08785;0.09199;0.3793;383.54;1.034;17405.3;105.7;8113.6;96.73;67.79;343.40;340.25;337.35;340.20;327.19;3.895;10.17;14.06;285;4.21;1
6;0;0.105;-0.7843;38.2;964.11;34.7228;33.038;105549;1884.5;41.13;0.1167;0.00000;0.00415;0.0140;381.46;0.589;18071.5;105.2;8070.9;96.22;67.43;343.15;340.01;337.14;339.97;327.02;3.731;10.11;13.85;313;4.64;1
6;1;0.105;-0.6417;66.6;964.11;34.7228;33.038;105549;1884.6;41.13;0.1167;0.00415;0.01137;0.0442;219.20;0.355;22801.3;105.3;8078.1;96.30;67.49;342.40;339.25;336.37;339.21;326.25;2.960;10.12;13.08;311;4.60;1
6;2;0.105;-0.4991;82.0;964.11;34.7228;33.038;105549;1884.6;41.12;0.1167;0.01137;0.02026;0.0810;177.91;0.307;25274.3;105.4;8080.8;96.34;67.51;342.11;338.97;336.09;338.93;325.96;2.671;10.13;12.80;308;4.56;1
6;3;0.105;-0.3565;91.9;964.11;34.7228;33.038;105549;1884.6;41.12;0.1167;0.02026;0.03024;0.1190;158.81;0.294;26791.1;105.4;8082.2;96.35;67.52;341.96;338.82;335.94;338.78;325.81;2.520;10.13;12.65;305;4.51;1
6;4;0.105;-0.2139;76.9;964.11;34.7228;33.038;105549;1884.6;41.13;0.1167;0.03024;0.03858;0.1637;189.65;0.373;24130.0;105.3;8079.6;96.32;67.50;342.24;339.09;336.21;339.05;326.09;2.797;10.13;12.92;302;4.47;1
6;5;0.105;-0.0713;68.4;964.11;34.7228;33.038;105549;1884.6;41.13;0.1167;0.03858;0.04600;0.1997;213.22;0.442;22163.2;105.3;8077.3;96.30;67.48;342.48;339.34;336.46;339.29;326.34;3.045;10.12;13.17;300;4.44;1
6;6;0.105;0.0713;68.4;964.11;34.7228;33.038;105549;1884.6;41.13;0.1167;0.04600;0.05342;0.2267;213.22;0.463;21660.9;105.3;8076.6;96.29;67.48;342.55;339.41;336.53;339.36;326.41;3.115;10.12;13.24;297;4.41;1
6;7;0.105;0.2139;76.9;964.11;34.7228;33.038;105549;1884.6;41.13;0.1167;0.05342;0.06177;0.2465;189.65;0.431;22353.4;105.3;8077.5;96.30;67.48;342.45;339.31;336.43;339.27;326.31;3.019;10.12;13.14;295;4.37;1
6;8;0.105;0.3565;91.9;964.11;34.7228;33.038;105549;1884.6;41.13;0.1167;0.06177;0.07174;0.2626;158.81;0.380;23699.2;105.3;8079.1;96.32;67.50;342.29;339.14;336.26;339.10;326.14;2.848;10.12;12.97;292;4.32;1
6;9;0.105;0.4991;82.0;964.11;34.7228;33.038;105549;1884.6;41.13;0.1167;0.07174;0.08063;0.2972;177.91;0.448;21986.7;105.3;8077.1;96.29;67.48;342.50;339.36;336.48;339.32;326.36;3.069;10.12;13.19;289;4.28;1
6;10;0.105;0.6417;66.6;964.11;34.7228;33.038;105549;1884.5;41.13;0.1167;0.08063;0.08785;0.3332;219.20;0.575;19879.9;105.3;8074.1;96.26;67.46;342.82;339.68;336.80;339.64;326.68;3.393;10.12;13.51;287;4.25;1
6;11;0.105;0.7843;38.2;964.11;34.7228;33.038;105548;1884.5;41.13;0.1167;0.08785;0.09199;0.3790;381.46;1.028;17384.7;105.2;8069.6;96.20;67.42;343.30;340.16;337.28;340.12;327.17;3.878;10.11;13.99;285;4.23;1
7;0;0.124;-0.7843;38.2;963.48;34.7223;33.022;105589;1814.0;41.01;0.1167;0.00000;0.00415;0.0140;379.64;0.587;18063.2;104.8;8032.4;95.76;67.11;343.06;339.94;337.07;339.89;327.01;3.715;10.07;13.78;313;4.66;1
7;1;0.124;-0.6417;66.6;963.47;34.7223;33.022;105589;1814.0;41.00;0.1167;0.00415;0.01137;0.0442;218.16;0.353;22793.1;104.9;8039.5;95.84;67.17;342.31;339.18;336.31;339.14;326.24;2.947;10.08;13.02;311;4.62;1
7;2;0.124;-0.4991;82.0;963.47;34.7223;33.022;105589;1814.0;41.00;0.1167;0.01137;0.02026;0.0809;177.06;0.305;25262.1;105.0;8042.2;95.88;67.19;342.02;338.90;336.03;338.85;325.95;2.660;10.08;12.74;308;4.58;1
7;3;0.124;-0.3565;91.9;963.47;34.7223;33.022;105589;1814.1;41.00;0.1167;0.02026;0.03024;0.1188;158.05;0.292;26775.4;105.0;8043.5;95.89;67.20;341.88;338.75;335.88;338.70;325.80;2.510;10.08;12.59;305;4.53;1
7;4;0.124;-0.2139;76.9;963.47;34.7223;33.022;105589;1814.0;41.00;0.1167;0.03024;0.03858;0.1635;188.75;0.372;24119.9;104.9;8041.0;95.86;67.18;342.15;339.02;336.15;338.98;326.08;2.785;10.08;12.86;302;4.50;1
7;5;0.124;-0.0713;68.4;963.47;34.7223;33.022;105589;1814.0;41.01;0.1167;0.03858;0.04600;0.1995;212.20;0.440;22155.4;104.9;8038.7;95.84;67.16;342.39;339.26;336.40;339.22;326.32;3.031;10.07;13.11;300;4.46;1
7;6;0.124;0.0713;68.4;963.47;34.7223;33.022;105589;1814.0;41.01;0.1167;0.04600;0.05342;0.2265;212.20;0.460;21653.3;104.9;8038.1;95.83;67.15;342.46;339.33;336.47;339.29;326.39;3.101;10.07;13.17;297;4.43;1
7;7;0.124;0.2139;76.9;963.47;34.7223;33.022;105589;1814.0;41.01;0.1167;0.05342;0.06177;0.2462;188.75;0.429;22345.2;104.9;8039.0;95.84;67.16;342.36;339.24;336.37;339.19;326.30;3.006;10.07;13.08;295;4.39;1
7;8;0.124;0.3565;91.9;963.47;34.7223;33.022;105589;1814.0;41.00;0.1167;0.06177;0.07174;0.2623;158.05;0.378;23689.4;104.9;8040.5;95.86;67.18;342.20;339.07;336.20;339.03;326.13;2.836;10.08;12.91;292;4.34;1
7;9;0.124;0.4991;82.0;963.47;34.7223;33.022;105589;1814.0;41.01;0.1167;0.07174;0.08063;0.2969;177.06;0.445;21978.3;104.9;8038.5;95.83;67.16;342.41;339.29;336.42;339.24;326.35;3.056;10.07;13.13;289;4.30;1
7;10;0.124;0.6417;66.6;963.47;34.7223;33.022;105589;1814.0;41.01;0.1167;0.08063;0.08785;0.3329;218.16;0.572;19871.2;104.9;8035.5;95.80;67.13;342.73;339.60;336.74;339.56;326.67;3.378;10.07;13.45;287;4.27;1
7;11;0.124;0.7843;38.2;963.48;34.7223;33.022;105589;1813.9;41.01;0.1167;0.08785;0.09199;0.3788;379.64;1.024;17366.8;104.8;8031.0;95.74;67.10;343.21;340.08;337.22;340.04;327.15;3.863;10.06;13.93;285;4.25;1
8;0;0.144;-0.7843;38.2;962.81;34.7218;33.005;105630;1757.5;40.90;0.1168;0.00000;0.00415;0.0140;378.00;0.584;18055.7;104.5;7997.9;95.35;66.82;342.98;339.87;337.01;339.82;326.99;3.701;10.02;13.72;313;4.68;1
